"Rank in the fifty states, 2019","Rank in states & territories, 2010",Name,"Population estimate, July 1, 2019[5]","Census population, April 1, 2010[6]","Percent change, 2010–2019[note 1]","Absolute change, 2010-2019","Total seats in the U.S. House of Representatives, 2013–2023","Estimated population per electoral vote, 2018[note 2]","Estimated population per House seat, 2018","Census population per House seat, 2010","Percent of the total U.S. population, 2018[note 3]"
1,1,California,"39,551,045","37,254,523",6.2%,"2,302,522",53,"719,219","746,359","702,885",11.96%
2,2,Texas,"28,701,845","25,145,561",14.1%,"3,556,284",36,"755,312","797,273","698,503",8.68%
3,4,Florida,"21,299,325","18,801,310",13.3%,"2,498,015",27,"734,459","788,864","696,468",6.44%
4,3,New York,"19,542,209","19,378,102",0.8%,"164,107",27,"673,869","723,786","717,707",5.91%
5,6,Pennsylvania,"12,807,060","12,702,379",0.8%,"104,681",18,"640,353","711,503","705,715",3.87%
6,5,Illinois,"12,699,000","12,830,632",-0.7%,"-89,552",18,"637,054","707,838","712,864",3.85%
7,7,Ohio,"11,689,442","11,536,504",1.3%,"152,938",16,"649,413","730,590","721,032",3.53%
8,9,Georgia,"10,519,475","9,687,653",8.6%,"831,822",14,"657,467","751,391","691,975",3.18%
9,10,North Carolina,"10,383,620","9,535,483",8.9%,"848,137",13,"692,241","798,740","733,498",3.14%
10,8,Michigan,"10,003,000","9,883,640",1.1%,"112,275",14,"624,735","713,994","705,974",3.02%
11,11,New Jersey,"9,042,520","8,791,894",1.3%,"116,626",12,"636,323","742,377","732,658",2.69%
12,12,Virginia,"8,517,685","8,001,024",6.5%,"516,661",11,"655,207","774,335","727,366",2.58%
13,13,Washington,"7,535,591","6,724,540",12.1%,"811,051",10,"627,966","753,559","672,454",2.28%
14,16,Arizona,"7,171,646","6,392,017",12.2%,"779,629",9,"651,968","796,850","710,224",2.17%
15,14,Massachusetts,"6,949,149","6,547,629",5.4%,"354,520",9,"627,468","766,905","727,514",2.09%
16,17,Tennessee,"6,833,010","6,346,105",6.7%,"423,905",9,"615,455","752,223","705,123",2.05%
17,15,Indiana,"6,691,878","6,483,802",3.2%,"208,076",9,"608,353","743,542","720,422",2.02%
